player_id,season,season_type,passing_yards,passing_tds,interceptions,attempts,completions,rushing_yards,rushing_tds,carries,receiving_yards,receiving_tds,receptions,targets,games,fantasy_points_ppr,playoff_passing_yards,playoff_passing_tds,playoff_interceptions,playoff_rushing_yards,playoff_rushing_tds,playoff_receiving_yards,playoff_receiving_tds,playoff_receptions,playoff_targets,playoff_games,playoff_fantasy_points,made_playoffs,passing_yards_adj,passing_tds_adj,interceptions_adj,attempts_adj,completions_adj,rushing_yards_adj,rushing_tds_adj,carries_adj,receiving_yards_adj,receiving_tds_adj,receptions_adj,targets_adj,fantasy_points_ppr_adj,passing_yards_pg,passing_tds_pg,interceptions_pg,attempts_pg,completions_pg,rushing_yards_pg,rushing_tds_pg,carries_pg,receiving_yards_pg,receiving_tds_pg,receptions_pg,targets_pg,fantasy_points_ppr_pg,games_played_pct,player_name,age,draft_number,years_exp,seasons,career_games,career_playoffs,career_playoff_games,career_playoff_passing_yards,career_playoff_rushing_yards,career_playoff_receiving_yards,career_playoff_passing_tds,career_playoff_rushing_tds,career_playoff_receiving_tds,career_playoff_receptions,peak_passing_yards,peak_passing_tds,peak_rushing_yards,peak_rushing_tds,peak_receiving_yards,peak_receiving_tds,peak_receptions,peak_targets,peak_passing_yards_adj,peak_passing_tds_adj,peak_rushing_yards_adj,peak_rushing_tds_adj,peak_receiving_yards_adj,peak_receiving_tds_adj,peak_receptions_adj,best_passing_yards_pg,best_passing_tds_pg,best_rushing_yards_pg,best_rushing_tds_pg,best_receiving_yards_pg,best_receiving_tds_pg,best_receptions_pg,avg_passing_yards_pg,avg_rushing_yards_pg,avg_receiving_yards_pg,avg_receptions_pg,avg_games_played_pct,min_games_played_pct,age_bucket,gsis_id,player,team,year_signed,years,fa_year,apy,total_value,total_guaranteed,guarantee_pct,draft_round,draft_overall,draft_year,inflated_apy,position
00-0033077,2024,REG,1978.0,11,8.0,286,185,54.0,1,13,0.0,0,0,0,8,116.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4203.25,23.375,17.0,607.75,393.125,114.75,2.125,27.625,0.0,0.0,0.0,0.0,247.605,247.25,1.375,1.0,35.75,23.125,6.75,0.125,1.625,0.0,0.0,0.0,0.0,14.565,0.47058823529411764,Dak Prescott,31.0,135.0,8,4,53,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4516.0,37,242.0,2,0.0,0,0,0,4516.0,37.0,242.0,2.125,0.0,0.0,0.0,278.0625,2.3125,15.166666666666666,0.125,0.0,0.0,0.0,257.3232230392157,11.31924019607843,0.0,0.0,0.7794117647058824,0.47058823529411764,late_prime,00-0033077,Dak Prescott,Cowboys,2024,4.0,2028.0,60000000.0,240000000.0,129000000.0,0.5375,4.0,135.0,2016.0,70.759593,QB
00-0033090,2024,REG,0.0,0,0.0,0,0,0.0,0,0,674.0,2,66,97,16,145.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674.0,2.0,66.0,97.0,145.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.125,0.125,4.125,6.0625,9.0875,0.9411764705882353,Hunter Henry,29.0,35.0,8,4,61,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,674.0,9,66,97,0.0,0.0,0.0,0.0,674.0,9.0,66.0,0.0,0.0,0.0,0.0,42.125,0.5625,4.125,0.0,0.0,35.96394230769231,3.2608173076923075,0.8970588235294117,0.7647058823529411,prime,00-0033090,Hunter Henry,Patriots,2024,3.0,2027.0,9000000.0,27000000.0,15800000.0,0.5851851851851853,2.0,35.0,2016.0,10.613939,TE
00-0033106,2024,REG,4629.0,37,12.0,539,390,56.0,0,35,7.0,1,1,1,17,324.46000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4629.0,37.0,12.0,539.0,390.0,56.0,0.0,35.0,7.0,1.0,1.0,1.0,324.46000000000004,272.29411764705884,2.176470588235294,0.7058823529411765,31.705882352941178,22.941176470588236,3.2941176470588234,0.0,2.0588235294117645,0.4117647058823529,0.058823529411764705,0.058823529411764705,0.058823529411764705,19.08588235294118,1.0,Jared Goff,29.0,1.0,8,4,65,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4629.0,37,87.0,2,7.0,1,1,1,4629.0,37.0,87.0,2.0,7.0,1.0,1.0,272.29411764705884,2.176470588235294,6.214285714285714,0.11764705882352941,0.4117647058823529,0.058823529411764705,0.058823529411764705,258.5640756302521,3.759453781512605,0.1764705882352941,0.029411764705882353,0.9558823529411764,0.8235294117647058,prime,00-0033106,Jared Goff,Lions,2024,4.0,2028.0,53000000.0,212000000.0,113611832.0,0.5359048679245283,1.0,1.0,2016.0,62.504307,QB
00-0033217,2024,REG,0.0,0,0.0,0,0,0.0,0,0,147.0,1,12,22,12,32.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,1.0,12.0,22.0,32.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.25,0.08333333333333333,1.0,1.8333333333333333,2.725,0.7058823529411765,Mo Alie-Cox,30.0,,7,4,56,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,316.0,4,24,45,0.0,0.0,0.0,0.0,316.0,4.0,24.0,0.0,0.0,0.0,0.0,18.58823529411765,0.23529411764705882,1.411764705882353,0.0,0.0,14.180712669683258,1.1922268907563025,0.8235294117647058,0.7058823529411765,late_prime,00-0033217,Mo Alie-Cox,Colts,2026,1.0,2027.0,2687500.0,2687500.0,2187500.0,0.813953488372093,,,2017.0,2.6875,TE
00-0033246,2024,REG,0.0,0,0.0,0,0,0.0,0,0,142.0,2,19,27,13,45.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,2.0,19.0,27.0,45.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.923076923076923,0.15384615384615385,1.4615384615384615,2.076923076923077,3.476923076923077,0.7647058823529411,Johnny Mundt,29.0,,7,4,36,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,172.0,2,19,27,0.0,0.0,0.0,0.0,324.88888888888886,2.0,32.11111111111111,0.0,0.0,0.0,0.0,19.11111111111111,0.15384615384615385,1.8888888888888888,0.0,0.0,12.450854700854702,1.452991452991453,0.5294117647058824,0.058823529411764705,prime,00-0033246,Johnny Mundt,Eagles,2026,1.0,2027.0,1500000.0,1500000.0,750000.0,0.5,,,2017.0,1.5,TE
00-0033288,2024,REG,0.0,0,0.0,0,0,0.0,0,0,1106.0,8,78,94,15,236.60000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1106.0,8.0,78.0,94.0,236.60000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.73333333333333,0.5333333333333333,5.2,6.266666666666667,15.773333333333335,0.8823529411764706,George Kittle,30.0,146.0,7,4,60,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.0,0,1106.0,11,78,94,0.0,0.0,20.0,0.0,1106.0,11.0,78.0,0.0,0.0,1.4285714285714286,0.0,73.73333333333333,0.7333333333333333,5.2,0.0,0.38839285714285715,63.37083333333334,4.583482142857143,0.8823529411764706,0.8235294117647058,late_prime,00-0033288,George Kittle,49ers,2025,4.0,2029.0,19100000.0,76400000.0,35000000.0,0.45811518324607325,5.0,146.0,2017.0,20.605014,TE
00-0033293,2024,REG,0.0,0,0.0,0,0,1138.0,5,255,408.0,2,51,62,17,241.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1138.0,5.0,255.0,408.0,2.0,51.0,62.0,241.6,0.0,0.0,0.0,0.0,0.0,66.94117647058823,0.29411764705882354,15.0,24.0,0.11764705882352941,3.0,3.6470588235294117,14.211764705882352,1.0,Aaron Jones,29.0,182.0,7,4,60,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1138.0,5,408.0,6,59,72,0.0,0.0,1138.0,5.0,408.0,6.0,59.0,0.0,0.0,66.94117647058823,0.29411764705882354,26.066666666666666,0.4,3.4705882352941178,0.0,61.44634581105169,23.620944741532977,3.166131907308378,0.8823529411764706,0.6470588235294118,prime,00-0033293,Aaron Jones,Vikings,2026,1.0,2027.0,5560000.0,5560000.0,5000000.0,0.8992805755395684,5.0,182.0,2017.0,5.56,RB
00-0033307,2024,REG,0.0,0,0.0,1,0,6.0,0,1,305.0,1,28,38,12,65.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,305.0,1.0,28.0,38.0,65.1,0.0,0.0,0.0,0.08333333333333333,0.0,0.5,0.0,0.08333333333333333,25.416666666666668,0.08333333333333333,2.3333333333333335,3.1666666666666665,5.425,0.7058823529411765,Kendrick Bourne,29.0,,7,4,53,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,125.0,0,800.0,5,55,70,25.0,1.0,125.0,0.0,862.75,8.5,78.625,1.4705882352941178,0.058823529411764705,7.352941176470588,0.0,50.75,0.5,4.625,0.36764705882352944,2.6976102941176467,37.587622549019606,3.095281862745098,0.7794117647058824,0.47058823529411764,prime,00-0033307,Kendrick Bourne,Cardinals,2026,2.0,2028.0,5000000.0,10000000.0,6500000.0,0.65,,,2017.0,5.0,WR
00-0033526,2024,REG,0.0,0,0.0,0,0,92.0,1,20,322.0,1,28,35,17,81.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,92.0,1.0,20.0,322.0,1.0,28.0,35.0,81.4,0.0,0.0,0.0,0.0,0.0,5.411764705882353,0.058823529411764705,1.1764705882352942,18.941176470588236,0.058823529411764705,1.6470588235294117,2.0588235294117645,4.788235294117648,1.0,Samaje Perine,28.0,114.0,7,4,65,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,394.0,2,455.0,4,50,56,0.0,0.0,394.0,2.0,455.0,4.0,50.0,0.0,0.0,24.625,0.125,26.764705882352942,0.25,2.9411764705882355,0.0,15.109191176470588,19.177512254901963,2.190808823529412,0.9558823529411764,0.8823529411764706,prime,00-0033526,Samaje Perine,Bengals,2025,2.0,2027.0,1800000.0,3600000.0,400000.0,0.11111111111111112,4.0,114.0,2017.0,1.941834,RB
00-0033537,2024,REG,1148.0,5,3.0,216,137,148.0,1,31,0.0,0,0,0,7,76.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2788.0,12.142857142857142,7.285714285714285,524.5714285714286,332.71428571428567,359.4285714285714,2.4285714285714284,75.28571428571428,0.0,0.0,0.0,0.0,186.32,164.0,0.7142857142857143,0.42857142857142855,30.857142857142858,19.571428571428573,21.142857142857142,0.14285714285714285,4.428571428571429,0.0,0.0,0.0,0.0,10.959999999999999,0.4117647058823529,Deshaun Watson,28.0,12.0,7,3,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1148.0,7,175.0,1,0.0,0,0,0,3159.166666666667,19.833333333333336,495.83333333333337,2.8333333333333335,0.0,0.0,0.0,185.83333333333334,1.1666666666666667,29.166666666666668,0.16666666666666666,0.0,0.0,0.0,177.83333333333334,24.65873015873016,0.0,0.0,0.37254901960784315,0.35294117647058826,prime,00-0033537,Deshaun Watson,Browns,2022,5.0,2027.0,46000000.0,230000000.0,230000000.0,1.0,1.0,12.0,2017.0,66.54755,QB
