gsis_id,player,position,team,year_signed,years,fa_year,apy,total_value,total_guaranteed,guarantee_pct,draft_round,draft_overall,draft_year,inflated_apy
00-0033908,Cooper Kupp,WR,Seahawks,2025,3.0,2028.0,15000000.0,45000000.0,17500000.0,0.3888888888888889,3.0,69.0,2017.0,16.181948
00-0033921,Chris Godwin,WR,Buccaneers,2025,3.0,2028.0,22000000.0,66000000.0,44000000.0,0.6666666666666666,3.0,84.0,2017.0,23.733524
00-0033955,Jeremy McNichols,RB,Commanders,2026,1.0,2027.0,1487500.0,1487500.0,562500.0,0.37815126050420167,5.0,162.0,2017.0,1.4875
00-0034270,Tyler Conklin,TE,Lions,2026,1.0,2027.0,1300000.0,1300000.0,0.0,0.0,5.0,157.0,2018.0,1.3
00-0034348,Courtland Sutton,WR,Broncos,2025,4.0,2029.0,23000000.0,92000000.0,40000000.0,0.43478260869565216,2.0,40.0,2018.0,24.812321
00-0034351,Dallas Goedert,TE,Eagles,2026,1.0,2027.0,7000000.0,7000000.0,7000000.0,1.0,2.0,49.0,2018.0,7.0
00-0034383,Dalton Schultz,TE,Texans,2026,1.0,2027.0,12600000.0,12600000.0,17600000.0,1.0,4.0,137.0,2018.0,12.6
00-0034386,Justin Watson,WR,Texans,2025,2.0,2027.0,2500000.0,5000000.0,3000000.0,0.6,5.0,144.0,2018.0,2.696991
00-0034577,Kyle Allen,QB,Bills,2026,2.0,2028.0,2049999.9999999998,4099999.9999999995,1800000.0,0.4390243902439025,,,2018.0,2.05
00-0034613,Tanner Hudson,TE,Bengals,2026,1.0,2027.0,1350000.0,1350000.0,50000.0,0.037037037037037035,,,2018.0,1.35
00-0034753,Mark Andrews,TE,Ravens,2025,3.0,2028.0,13089000.0,39267000.0,20944444.0,0.5333853872208215,3.0,86.0,2018.0,14.120368
00-0034771,Mason Rudolph,QB,Steelers,2025,2.0,2027.0,3750000.0,7500000.0,3000000.0,0.4,3.0,76.0,2018.0,4.045487
00-0034775,Christian Kirk,WR,49ers,2026,1.0,2027.0,3000000.0,3000000.0,2780000.0,0.9266666666666666,2.0,47.0,2018.0,3.0
00-0034796,Lamar Jackson,QB,Ravens,2023,5.0,2028.0,52000000.0,260000000.0,135000000.0,0.5192307692307693,1.0,32.0,2018.0,69.672598
00-0034798,Durham Smythe,TE,Ravens,2026,1.0,2027.0,3000000.0,3000000.0,2000000.0,0.6666666666666666,4.0,123.0,2018.0,3.0
00-0034827,D.J. Moore,WR,CHI/BUF,2024,4.0,2028.0,27500000.0,110000000.0,43650000.0,0.3968181818181818,1.0,24.0,2018.0,32.43148
00-0034829,Mike Gesicki,TE,Bengals,2025,3.0,2028.0,8500000.0,25500000.0,6500000.0,0.2549019607843137,2.0,42.0,2018.0,9.169771
00-0034837,Calvin Ridley,WR,Titans,2026,2.0,2028.0,17625000.0,35250000.0,12490000.0,0.35432624113475175,1.0,26.0,2018.0,17.625
